OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
129,1980,0,3146,0,6969599.83808,10559.9998773333
130,511,0,1071,1,6969600.70421999,10560.0005335
131,1632,0,2480,1,6969599.83808,10559.9998773333
132,2240,0,3796,0,6969599.83808,10559.9998773333
133,1974,0,3106,1,6969599.83808,10559.9998773333
134,296,0,790,0,6969599.83808,10559.9998773333
135,1415,0,2166,2,6969600.70421999,10560.0005335
136,573,0,1143,1,6969599.83808,10559.9998773333
137,161,0,598,2,6969599.83808,10559.9998773333
138,1864,0,2910,0,6969599.83808,10559.9998773333
139,136,0,547,0,6969599.83808,10559.9998773333
140,1508,0,2296,0,6969599.83808,10559.9998773333
141,391,0,915,0,6969599.83808,10559.9998773333
142,535,0,1105,0,6969599.83808,10559.9998773333
143,43,0,316,3,6969600.70421999,10560.0005335
144,229,0,705,1,6969599.83808,10559.9998773333
145,705,0,1307,0,6969599.83808,10559.9998773333
146,1132,0,1804,1,6969600.70421999,10560.0005335
147,1267,0,1959,3,6969599.83808,10559.9998773333
148,1558,0,2385,0,6969599.83808,10559.9998773333
149,898,0,1538,6,6969600.70421999,10560.0005335
150,918,0,1558,0,6969600.70421999,10560.0005335
151,191,0,646,1,6969599.83808,10559.9998773333
152,1554,0,2361,1,6969599.83808,10559.9998773333
153,497,0,1057,1,6969599.83808,10559.9998773333
154,194,0,649,0,6969599.83808,10559.9998773333
155,1269,0,1961,1,6969599.83808,10559.9998773333
156,1561,0,2388,2,6969599.83808,10559.9998773333
157,896,0,1536,0,6969600.70421999,10560.0005335
158,4091,0,4089,0,6969599.83808,10559.9998773333
159,3007,0,1853,0,6969599.83808,10559.9998773333
160,742,0,1355,0,6969599.83808,10559.9998773333
161,655,0,1245,1,6969600.70421999,10560.0005335
162,1590,0,2417,4,6969599.83808,10559.9998773333
163,962,0,1609,2,6969599.83808,10559.9998773333
164,1434,0,2185,3,6969600.70421999,10560.0005335
165,553,0,1123,5,6969599.83808,10559.9998773333
166,1169,0,1841,1,6969599.83808,10559.9998773333
167,1940,0,3041,0,6969599.83808,10559.9998773333
168,1557,0,2364,1,6969599.83808,10559.9998773333
169,2872,0,930,0,6969600.70421999,10560.0005335
170,791,0,1414,2,6969599.83808,10559.9998773333
171,975,0,1622,0,6969599.83808,10559.9998773333
172,118,0,500,0,6969599.83808,10559.9998773333
173,575,0,1145,1,6969599.83808,10559.9998773333
174,613,0,1192,1,6969599.83808,10559.9998773333
175,1820,0,2808,0,6969600.70421999,10560.0005335
176,2034,0,3269,0,6969599.83808,10559.9998773333
177,1634,0,2503,3,6969599.83808,10559.9998773333
178,1051,0,1709,2,6969600.70421999,10560.0005335
179,1104,0,1768,3,6969599.83808,10559.9998773333
180,637,0,1227,1,6969599.83808,10559.9998773333
181,931,0,1578,0,6969599.83808,10559.9998773333
182,2093,0,3396,0,6969600.70421999,10560.0005335
183,2923,0,1221,0,6969599.83808,10559.9998773333
184,2211,0,3729,1,6969600.70421999,10560.0005335
185,452,0,1002,0,6969599.83808,10559.9998773333
186,1978,0,3110,3,6969599.83808,10559.9998773333
187,696,0,1298,3,6969599.83808,10559.9998773333
188,648,0,1238,4,6969599.83808,10559.9998773333
189,411,0,949,1,6969600.70421999,10560.0005335
190,2001,0,3167,0,6969599.83808,10559.9998773333
191,1222,0,1903,2,6969599.83808,10559.9998773333
192,3499,0,3143,0,6969599.83808,10559.9998773333
193,1531,0,2338,2,6969599.83808,10559.9998773333
194,537,0,1107,0,6969599.83808,10559.9998773333
195,2059,0,3328,0,6969599.83808,10559.9998773333
196,834,0,1466,0,6969599.83808,10559.9998773333
197,2221,0,3739,1,6969600.70421999,10560.0005335
198,1284,0,1988,2,6969599.83808,10559.9998773333
199,1794,0,2757,1,6969599.83808,10559.9998773333
200,192,0,647,1,6969599.83808,10559.9998773333
201,94,0,443,0,6969599.83808,10559.9998773333
202,951,0,1598,3,6969599.83808,10559.9998773333
203,308,0,817,1,6969599.83808,10559.9998773333
204,857,0,1489,2,6969599.83808,10559.9998773333
205,1271,0,1963,2,6969600.70421999,10560.0005335
206,260,0,739,0,6969599.83808,10559.9998773333
207,717,0,1319,0,6969599.83808,10559.9998773333
208,1969,0,3101,2,6969600.70421999,10560.0005335
209,1501,0,2289,3,6969600.70421999,10560.0005335
210,500,0,1060,0,6969599.83808,10559.9998773333
211,1298,0,2002,4,6969599.83808,10559.9998773333
212,1390,0,2124,2,6969599.83808,10559.9998773333
213,34,0,263,1,6969599.83808,10559.9998773333
214,2313,0,4026,3,6969600.70421999,10560.0005335
215,83,0,432,3,6969599.83808,10559.9998773333
216,1486,0,2274,3,6969599.83808,10559.9998773333
217,153,0,583,0,6969599.83808,10559.9998773333
218,1137,0,1809,0,6969599.83808,10559.9998773333
219,549,0,1119,2,6969600.70421999,10560.0005335
220,432,0,970,2,6969600.70421999,10560.0005335
221,1998,0,3164,0,6969599.83808,10559.9998773333
222,2465,0,138,0,6969599.83808,10559.9998773333
223,796,0,1419,1,6969600.70421999,10560.0005335
224,1445,0,2214,2,6969599.83808,10559.9998773333
225,40,0,313,0,6969600.70421999,10560.0005335
226,1412,0,2163,2,6969601.57036009,10560.0011896667
227,690,0,1292,6,6969599.83808,10559.9998773333
228,237,0,716,0,6969599.83808,10559.9998773333
229,2222,0,3740,1,6969599.83808,10559.9998773333
230,120,0,502,2,6969600.70421999,10560.0005335
231,1510,0,2298,2,6969599.83808,10559.9998773333
232,129,0,540,0,6969599.83808,10559.9998773333
233,2204,0,3685,1,6969599.83808,10559.9998773333
234,1183,0,1864,4,6969599.83808,10559.9998773333
235,157,0,587,0,6969599.83808,10559.9998773333
236,219,0,679,4,6969599.83808,10559.9998773333
237,1414,0,2165,2,6969600.70421999,10560.0005335
238,915,0,1555,0,6969600.70421999,10560.0005335
239,2008,0,3208,0,6969599.83808,10559.9998773333
240,204,0,664,1,6969599.83808,10559.9998773333
241,330,0,839,1,6969600.70421999,10560.0005335
242,908,0,1548,4,6969600.70421999,10560.0005335
243,922,0,1562,2,6969600.70421999,10560.0005335
244,1149,0,1821,3,6969599.83808,10559.9998773333
245,994,0,1647,2,6969599.83808,10559.9998773333
246,1168,0,1840,1,6969599.83808,10559.9998773333
247,1843,0,2862,1,6969599.83808,10559.9998773333
248,783,0,1406,0,6969599.83808,10559.9998773333
249,442,0,992,0,6969600.70421999,10560.0005335
250,302,0,796,3,6969599.83808,10559.9998773333
251,1354,0,2072,3,6969599.83808,10559.9998773333
252,108,0,490,1,6969599.83808,10559.9998773333
253,686,0,1288,1,6969599.83808,10559.9998773333
254,725,0,1327,1,6969599.83808,10559.9998773333
255,1773,0,2736,0,6969599.83808,10559.9998773333
256,769,0,1382,1,6969599.83808,10559.9998773333
257,1500,0,2288,2,6969599.83808,10559.9998773333
258,416,0,954,3,6969600.70421999,10560.0005335
259,1496,0,2284,2,6969599.83808,10559.9998773333
260,1808,0,2796,0,6969600.70421999,10560.0005335
261,291,0,785,1,6969599.83808,10559.9998773333
262,2145,0,3552,0,6969599.83808,10559.9998773333
263,1950,0,3051,1,6969599.83808,10559.9998773333
264,376,0,900,1,6969599.83808,10559.9998773333
265,164,0,601,0,6969599.83808,10559.9998773333
266,1260,0,1952,1,6969600.70421999,10560.0005335
267,17,0,198,3,6969599.83808,10559.9998773333
268,611,0,1190,1,6969599.83808,10559.9998773333
269,904,0,1544,4,6969600.70421999,10560.0005335
270,716,0,1318,1,6969599.83808,10559.9998773333
271,1603,0,2451,2,6969599.83808,10559.9998773333
272,1219,0,1900,3,6969599.83808,10559.9998773333
273,1903,0,2976,0,6969599.83808,10559.9998773333
274,2632,0,352,0,6969599.83808,10559.9998773333
275,1939,0,3040,2,6969599.83808,10559.9998773333
276,1248,0,1940,5,6969599.83808,10559.9998773333
277,307,0,816,0,6969599.83808,10559.9998773333
