OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
597,2804,0,2804,3,6969600.70421999,10560.0005335
598,3618,0,3618,2,6969599.83808,10559.9998773333
599,3560,0,3560,6,6969599.83808,10559.9998773333
600,1190,0,1190,5,6969599.83808,10559.9998773333
601,1426,0,1426,3,6969599.83808,10559.9998773333
602,3321,0,3321,2,6969599.83808,10559.9998773333
603,1288,0,1288,3,6969599.83808,10559.9998773333
604,1842,0,1842,3,6969599.83808,10559.9998773333
605,257,0,257,4,6969599.83808,10559.9998773333
606,1902,0,1902,2,6969599.83808,10559.9998773333
607,3843,0,3843,1,6969599.83808,10559.9998773333
608,3743,0,3743,2,6969599.83808,10559.9998773333
609,878,0,878,4,6969599.83808,10559.9998773333
610,661,0,661,6,6969599.83808,10559.9998773333
611,1405,0,1405,1,6969599.83808,10559.9998773333
612,2991,0,2991,2,6969599.83808,10559.9998773333
613,1530,0,1530,4,6969600.70421999,10560.0005335
614,642,0,642,1,6969599.83808,10559.9998773333
615,1079,0,1079,2,6969599.83808,10559.9998773333
616,3039,0,3039,1,6969599.83808,10559.9998773333
617,4025,0,4025,2,6969600.70421999,10560.0005335
618,84,0,84,2,6969599.83808,10559.9998773333
619,1186,0,1186,3,6969599.83808,10559.9998773333
620,3613,0,3613,1,6969600.70421999,10560.0005335
621,879,0,879,3,6969599.83808,10559.9998773333
622,2132,0,2132,1,6969599.83808,10559.9998773333
623,658,0,658,4,6969599.83808,10559.9998773333
624,1322,0,1322,7,6969599.83808,10559.9998773333
625,1893,0,1893,5,6969599.83808,10559.9998773333
626,2647,0,2647,3,6969599.83808,10559.9998773333
627,1758,0,1758,2,6969599.83808,10559.9998773333
628,3849,0,3849,5,6969599.83808,10559.9998773333
629,2576,0,2576,2,6969599.83808,10559.9998773333
630,1675,0,1675,1,6969599.83808,10559.9998773333
631,1359,0,1359,5,6969599.83808,10559.9998773333
632,3960,0,3960,1,6969599.83808,10559.9998773333
633,2111,0,2111,6,6969599.83808,10559.9998773333
634,2974,0,2974,2,6969599.83808,10559.9998773333
635,2516,0,2516,4,6969599.83808,10559.9998773333
636,2421,0,2421,2,6969599.83808,10559.9998773333
