OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
3505,37,119,006210,2,371190062102,Block Group 2,0016652,"Block Group 2, Census Tract 62.10, Mecklenburg County, North Carolina",625,0,0,38,0,9,0,0,8,10,28,83,44,61,112,147,85,131250,524,0,0,31750540.5880707,26048.4108877283
3506,37,119,005518,2,371190055182,Block Group 2,0016442,"Block Group 2, Census Tract 55.18, Mecklenburg County, North Carolina",845,62,9,0,33,76,31,0,56,39,120,125,220,42,13,19,0,59514,522,30,0.05747126,53567422.0579512,30567.9829822995
3507,37,119,005832,1,371190058321,Block Group 1,0016547,"Block Group 1, Census Tract 58.32, Mecklenburg County, North Carolina",1076,47,0,22,29,5,0,24,35,14,29,55,59,63,74,145,475,176667,927,16,0.01725998,32163174.4956373,27866.2925144025
3508,37,119,006214,2,371190062142,Block Group 2,0016660,"Block Group 2, Census Tract 62.14, Mecklenburg County, North Carolina",886,7,54,0,22,14,0,0,42,21,63,75,137,140,137,77,97,100833,663,3,0.00452489,29336907.6671281,25830.1978482506
3509,37,119,001507,3,371190015073,Block Group 3,0016168,"Block Group 3, Census Tract 15.07, Mecklenburg County, North Carolina",507,94,39,0,53,74,43,87,15,0,55,0,7,28,12,0,0,29631,320,60,0.1875,9069580.1649748,13510.847104346
3510,37,119,006104,3,371190061043,Block Group 3,0016630,"Block Group 3, Census Tract 61.04, Mecklenburg County, North Carolina",1450,32,44,100,16,45,78,39,164,120,12,233,242,36,205,42,42,65436,1018,44,0.043222,58364246.2604854,33820.0812736728
3511,37,119,003106,2,371190031062,Block Group 2,0016316,"Block Group 2, Census Tract 31.06, Mecklenburg County, North Carolina",705,13,14,7,9,0,44,10,41,12,31,18,66,151,108,76,105,118015,389,28,0.07197943,9658504.38385488,15815.5621925334
3512,37,119,001917,2,371190019172,Block Group 2,0016216,"Block Group 2, Census Tract 19.17, Mecklenburg County, North Carolina",745,34,53,103,54,20,10,74,21,14,54,63,163,67,7,0,8,45625,589,161,0.27334465,19098507.918592,21284.2541961317
3513,37,119,000700,1,371190007001,Block Group 1,0016144,"Block Group 1, Census Tract 7, Mecklenburg County, North Carolina",529,59,40,7,57,27,0,13,33,25,19,52,79,49,16,35,18,50795,186,33,0.17741935,13685137.0817541,23242.2706545712
3514,37,119,002800,2,371190028002,Block Group 2,0016264,"Block Group 2, Census Tract 28, Mecklenburg County, North Carolina",398,0,0,0,0,0,0,0,0,0,0,41,15,17,6,33,286,250000,353,0,0,9356399.30530703,14519.2296081861
