X,Y,OBJECTID,APTCODE,PROJECT_NA,ADDRESS,CITYSTATEZ,TYPE,MIN_rentMO,MAX_rentMO,units,Credit,Avg_Rent,Affordable,URL
1439701.49962409,501970.158654168,51,432,PARK LANE,1610 WAYBRIDGE LANE,"CHARLOTTE, NC 28210",MARKET RATE,600,1100,60,Real Data,1100,yes,https://www.aptindex.com/
1481096.70292276,509001.021560922,52,602,GALLERIA VILLAGE,1616 GALLERIA CLUB LANE,"CHARLOTTE, NC 28270",MARKET RATE,700,1300,210,Real Data,1200,no,https://www.aptindex.com/
1468582.45039226,526105.489320427,53,039,CHIMNEYS,1630 DELANE AVENUE,"CHARLOTTE, NC 28211",MARKET RATE,500,900,214,Real Data,800,yes,https://www.aptindex.com/
1468999.29568717,531072.753007919,54,027,ENCLAVE AT OAKHURST,1636 CHIPPENDALE ROAD,"CHARLOTTE, NC 28205",MARKET RATE,600,1200,84,Real Data,1200,no,https://www.aptindex.com/
1478043.02235034,516017.946831509,55,269,1700 PLACE,1700 CHARLESTON PLACE,"CHARLOTTE, NC 28212",MARKET RATE,500,1000,214,Real Data,900,yes,https://www.aptindex.com/
1436989.16351335,538669.791947678,56,122,1701 CITYVIEW,1701 WEST BLVD,"CHARLOTTE, NC 28208",MARKET RATE,500,900,163,Real Data,800,yes,https://www.aptindex.com/
1464229.0312776,538545.859452754,57,254,MOUNTCREST,1719 EASTCREST DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,1000,124,Real Data,1000,yes,https://www.aptindex.com/
1464229.0312776,538545.859452754,58,145,SHADOWOOD,1719 EASTCREST DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,900,107,Real Data,900,yes,https://www.aptindex.com/
1468982.972229,573597.05378592,59,331,AUTUMN PARK,1801 INTERFACE LANE,"CHARLOTTE, NC 28262",MARKET RATE,700,1200,586,Real Data,1200,no,https://www.aptindex.com/
1487175.94338892,581775.900945261,60,447,GRAND RESERVE AT PAVILION,1801 WILLOW HAVEN LANE,"CHARLOTTE, NC 28262",MARKET RATE,700,1200,408,Real Data,1100,no,https://www.aptindex.com/
1491590.32038692,573950.056360751,61,337,WEXFORD,1811 WEXFORD MEADOWS LANE,"CHARLOTTE, NC 28262",MARKET RATE,600,1100,142,Real Data,900,yes,https://www.aptindex.com/
