X,Y,OBJECTID,Item_ID,Updated,Item_Name,Condition,Approximate_value,Stock_Item_or_Custom_Item,FACILITYID,XCoord,YCoord,CategoryMainType,FrontPhoto,BackPhoto,DamagePhoto,GeneralPhoto,LocationPhoto,Artist,TitleOfWork,YearInstalled,ComSource,OwnerPrivate,CommissionAmount,CurrentValue,IntExt,ComSourceOther,Owner
1429001.00035581,528639.00032948,134,532,2013/09/13 00:00:00+00,The Charlotte Coliseum,,,,502,1429001.000231,528639.000231,Public Art,,,,,,Maya Lin,TOPO,,,,340000,,2,,City
1450909.00017488,546830.000364721,135,533,2013/06/27 00:00:00+00,the Community Services Facility,,,,503,1450909.000231,546830.000231,Public Art,,,,,,Jacqueline Heer,Untitled,,,,2150,,,,County
1464685.99985181,530453.999980316,136,534,2013/06/27 00:00:00+00,WTVI 42,,,,504,1464686,530454,Public Art,,,,,,Michael Kitchen,Light Transmitter,,,,125000,,,,County
1450954.00008489,540381.0001394,137,535,2013/09/13 00:00:00+00,County Office Building,,,,505,1450954.000231,540381.000231,Public Art,,,,,,The Wahler Design Group,the Courtroom,,,,125000,,,,County
1457763.00024639,546672.000352651,138,536,2013/06/27 00:00:00+00,"Cordelia Park (relocated summer, 2001)",,,,506,1457763.000231,546672.000231,Public Art,,,,,,David Stromeyer,Opening Night,,,,35000,,2,,County
1439218.99993289,552325.999871388,139,537,2013/06/27 00:00:00+00,Lakeview Center,,,,507,1439219,552326,Public Art,,,,,,Harold Crowell,Unknown,,,,4450,,1,,County
1436145.99984531,561034.999841809,140,538,2015/07/08 00:00:00+00,Charlotte-Mecklenburg Utilities Department,,,,508,1436146,561035,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_804.jpg,,,,,Kathy Triplett,Water Cycle,,,,12000,,,,City
1451922.00011739,544306.000163391,141,539,2013/06/27 00:00:00+00,Hal Marshall Center,,,,509,1451922.000231,544306.000231,Public Art,,,,,,Celia Flock,"Flock: ""Carolina Summer Field""; ""the Coming of Spring""; ""Cedar Tree Farm""; Stenhouse: ""Pliedmont Red"", ""Three Trees"" and ""Pasture Land""",,,,10000,,1,,County
1450632.00007272,540538.000153482,142,540,2015/07/08 00:00:00+00,Charlotte-Mecklenburg Government Center,,,,510,1450632.000231,540538.000231,Public Art,file:\\charlotte\cocdfs\Engineering\Shared Data\Shared\Hardscape Management\Photos\Public Art\540 Charlotte Mecklenburg Government Center Water Feature Front.jpg#,,,,,Alfred Alegua,Untitled,,,,609130,,2,,City
1451922.00011739,544306.000163391,143,542,2013/06/27 00:00:00+00,Hal Marshall Center,,,,512,1451922.000231,544306.000231,Public Art,,,,,,Nathan Parker,Innocence,,,,1500,,1,,County
1451922.00011739,544306.000163391,144,543,2013/06/28 00:00:00+00,Hal Marshall Center,,,,513,1451922.000231,544306.000231,Public Art,,,,,,Paul Harcharik,Future Perfect,,,,5000,,1,,County
1451922.00011739,544306.000163391,145,544,2013/09/13 00:00:00+00,Hal Marshall Center,,,,514,1451922.000231,544306.000231,Public Art,,,,,,Paul Sires,Tools of Progress,,,,5000,,1,,County
1448346.00005156,542031.000120223,146,545,2013/09/18 00:00:00+00,Charlotte the Center of the Known World,,,,515,1448346,542031,Public Art,,,,,,Gary Sweeney,Charlotte the Center of the Known World”,,,,,,,,Private
1448292.00015955,541760.000006065,147,546,2013/09/18 00:00:00+00,Firebird,,,,516,1448292,541760,Public Art,,,,,,Niki de Saint Phalle,Firebird,,,,,,,,Private
1448896.99993381,543145.999858722,148,547,2013/09/18 00:00:00+00,Cascade,,,,517,1448897,543146,Public Art,,,,,,Jean Tinguely,,,,,,,,,Private
1452600.00007372,538992.999962643,149,548,2013/09/18 00:00:00+00,Spirit of Mecklenburg,,,,518,1452600,538993,Public Art,,,,,,Chas Fagan,Spirit of Mecklenburg,,,,,,,,County
1449139.92103589,543172.345278472,150,25,2015/07/08 00:00:00+00,Art,Good,,Custom,133,1449139.921,543172.3453,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_399.jpg,,,,,,,,,,,,,,Private
1456589.98684439,545606.351893395,151,124,2015/07/08 00:00:00+00,Art,Good,,Custom,284,1456589.987,545606.3519,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_433.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_243.jpg,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_53.jpg,,,,,,,,,,County
1459930.33285397,527029.891671062,152,373,2015/07/08 00:00:00+00,Art,Good,,Custom,363,1459930.333,527029.8917,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_642.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_348.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PD_photo_709.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PG_photo_752.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_211.jpg,Thomas Sayre,Grandiflora,,,,,,,,Private
