OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
1283,2092,0,3395,0,6969600.70421999,10560.0005335
1284,1262,0,1954,1,6969599.83808,10559.9998773333
1285,1365,0,2099,1,6969599.83808,10559.9998773333
1286,347,0,856,1,6969599.83808,10559.9998773333
1287,1134,0,1806,1,6969599.83808,10559.9998773333
1288,1620,0,2468,3,6969599.83808,10559.9998773333
1289,955,0,1602,2,6969599.83808,10559.9998773333
1290,440,0,990,3,6969599.83808,10559.9998773333
1291,444,0,994,3,6969599.83808,10559.9998773333
1292,211,0,671,2,6969599.83808,10559.9998773333
1293,1425,0,2176,3,6969600.70421999,10560.0005335
1294,2088,0,3391,2,6969601.57036009,10560.0011896667
1295,248,0,727,1,6969599.83808,10559.9998773333
1296,1436,0,2187,1,6969600.70421999,10560.0005335
1297,1786,0,2749,2,6969599.83808,10559.9998773333
1298,1843,0,2862,0,6969599.83808,10559.9998773333
1299,1191,0,1872,3,6969599.83808,10559.9998773333
1300,821,0,1444,0,6969599.83808,10559.9998773333
1301,913,0,1553,0,6969600.70421999,10560.0005335
1302,899,0,1539,4,6969600.70421999,10560.0005335
1303,613,0,1192,2,6969599.83808,10559.9998773333
1304,1819,0,2807,2,6969600.70421999,10560.0005335
1305,1133,0,1805,1,6969599.83808,10559.9998773333
1306,2151,0,3558,2,6969599.83808,10559.9998773333
1307,1103,0,1767,4,6969600.70421999,10560.0005335
1308,1777,0,2740,0,6969599.83808,10559.9998773333
1309,785,0,1408,4,6969599.83808,10559.9998773333
1310,674,0,1264,0,6969599.83808,10559.9998773333
1311,2108,0,3445,1,6969599.83808,10559.9998773333
1312,387,0,911,1,6969599.83808,10559.9998773333
1313,693,0,1295,2,6969599.83808,10559.9998773333
1314,621,0,1200,2,6969599.83808,10559.9998773333
1315,1770,0,2709,3,6969599.83808,10559.9998773333
1316,636,0,1226,3,6969599.83808,10559.9998773333
1317,1299,0,2003,3,6969599.83808,10559.9998773333
1318,1052,0,1710,4,6969599.83808,10559.9998773333
1319,1246,0,1938,4,6969599.83808,10559.9998773333
1320,702,0,1304,3,6969599.83808,10559.9998773333
1321,480,0,1030,1,6969599.83808,10559.9998773333
1322,1545,0,2352,3,6969599.83808,10559.9998773333
1323,820,0,1443,0,6969599.83808,10559.9998773333
1324,1407,0,2158,1,6969600.70421999,10560.0005335
1325,1480,0,2249,1,6969599.83808,10559.9998773333
1326,2051,0,3320,3,6969599.83808,10559.9998773333
1327,2068,0,3337,0,6969599.83808,10559.9998773333
1328,2243,0,3799,1,6969599.83808,10559.9998773333
1329,1528,0,2335,0,6969599.83808,10559.9998773333
1330,578,0,1148,0,6969599.83808,10559.9998773333
1331,1213,0,1894,0,6969600.70421999,10560.0005335
1332,641,0,1231,5,6969599.83808,10559.9998773333
1333,315,0,824,2,6969599.83808,10559.9998773333
1334,2271,0,3903,1,6969600.70421999,10560.0005335
1335,1081,0,1739,1,6969599.83808,10559.9998773333
1336,780,0,1403,3,6969599.83808,10559.9998773333
1337,1360,0,2094,0,6969600.70421999,10560.0005335
1338,1558,0,2385,1,6969599.83808,10559.9998773333
1339,1438,0,2189,1,6969600.70421999,10560.0005335
1340,1599,0,2447,0,6969599.83808,10559.9998773333
1341,2061,0,3330,3,6969599.83808,10559.9998773333
1342,2257,0,3851,2,6969599.83808,10559.9998773333
1343,1196,0,1877,4,6969599.83808,10559.9998773333
1344,611,0,1190,2,6969599.83808,10559.9998773333
1345,144,0,555,1,6969599.83808,10559.9998773333
1346,1105,0,1769,4,6969599.83808,10559.9998773333
1347,1144,0,1816,2,6969599.83808,10559.9998773333
1348,1793,0,2756,2,6969599.83808,10559.9998773333
1349,1994,0,3160,3,6969599.83808,10559.9998773333
1350,979,0,1632,2,6969599.83808,10559.9998773333
1351,53,0,350,3,6969599.83808,10559.9998773333
1352,430,0,968,2,6969600.70421999,10560.0005335
1353,1796,0,2759,3,6969599.83808,10559.9998773333
1354,1999,0,3165,0,6969599.83808,10559.9998773333
1355,1534,0,2341,2,6969599.83808,10559.9998773333
1356,1289,0,1993,3,6969599.83808,10559.9998773333
1357,1733,0,2648,3,6969600.70421999,10560.0005335
1358,1030,0,1688,1,6969600.70421999,10560.0005335
1359,1147,0,1819,4,6969599.83808,10559.9998773333
1360,2026,0,3261,3,6969599.83808,10559.9998773333
1361,1982,0,3148,3,6969599.83808,10559.9998773333
1362,918,0,1558,0,6969600.70421999,10560.0005335
1363,1615,0,2463,3,6969600.70421999,10560.0005335
1364,7,0,85,1,6969600.70421999,10560.0005335
1365,1698,0,2589,4,6969599.83808,10559.9998773333
1366,1798,0,2761,3,6969599.83808,10559.9998773333
1367,1780,0,2743,0,6969600.70421999,10560.0005335
1368,2041,0,3276,0,6969599.83808,10559.9998773333
1369,361,0,885,3,6969599.83808,10559.9998773333
1370,872,0,1504,0,6969599.83808,10559.9998773333
1371,1783,0,2746,0,6969599.83808,10559.9998773333
1372,746,0,1359,3,6969599.83808,10559.9998773333
1373,296,0,790,2,6969599.83808,10559.9998773333
1374,2220,0,3738,2,6969599.83808,10559.9998773333
1375,520,0,1080,2,6969599.83808,10559.9998773333
1376,1126,0,1790,0,6969599.83808,10559.9998773333
1377,353,0,877,3,6969599.83808,10559.9998773333
1378,1579,0,2406,3,6969599.83808,10559.9998773333
1379,535,0,1105,3,6969599.83808,10559.9998773333
1380,681,0,1283,2,6969599.83808,10559.9998773333
1381,677,0,1267,0,6969600.70421999,10560.0005335
1382,939,0,1586,2,6969599.83808,10559.9998773333
1383,627,0,1206,0,6969599.83808,10559.9998773333
1384,1591,0,2418,2,6969599.83808,10559.9998773333
1385,1076,0,1734,0,6969599.83808,10559.9998773333
1386,235,0,714,1,6969599.83808,10559.9998773333
1387,1380,0,2114,4,6969599.83808,10559.9998773333
1388,1931,0,3032,2,6969599.83808,10559.9998773333
1389,79,0,428,4,6969599.83808,10559.9998773333
1390,1482,0,2270,1,6969599.83808,10559.9998773333
1391,486,0,1046,0,6969599.83808,10559.9998773333
1392,2099,0,3436,3,6969599.83808,10559.9998773333
1393,2324,0,4079,1,6969599.83808,10559.9998773333
1394,2136,0,3508,0,6969599.83808,10559.9998773333
1395,885,0,1525,4,6969601.57036009,10560.0011896667
1396,74,0,409,2,6969599.83808,10559.9998773333
1397,2063,0,3332,1,6969599.83808,10559.9998773333
1398,1920,0,2993,1,6969599.83808,10559.9998773333
1399,1250,0,1942,4,6969599.83808,10559.9998773333
1400,1618,0,2466,3,6969599.83808,10559.9998773333
1401,236,0,715,1,6969599.83808,10559.9998773333
1402,72,0,407,3,6969599.83808,10559.9998773333
1403,1875,0,2921,0,6969599.83808,10559.9998773333
1404,1427,0,2178,3,6969600.70421999,10560.0005335
1405,2086,0,3389,2,6969600.70421999,10560.0005335
1406,154,0,584,0,6969599.83808,10559.9998773333
1407,326,0,835,3,6969599.83808,10559.9998773333
1408,2064,0,3333,2,6969600.70421999,10560.0005335
1409,1718,0,2633,1,6969599.83808,10559.9998773333
1410,290,0,784,1,6969599.83808,10559.9998773333
1411,518,0,1078,2,6969599.83808,10559.9998773333
1412,646,0,1236,2,6969599.83808,10559.9998773333
1413,1863,0,2882,1,6969599.83808,10559.9998773333
1414,1179,0,1851,1,6969599.83808,10559.9998773333
1415,45,0,318,3,6969600.70421999,10560.0005335
1416,550,0,1120,3,6969599.83808,10559.9998773333
1417,1123,0,1787,0,6969599.83808,10559.9998773333
1418,115,0,497,2,6969599.83808,10559.9998773333
1419,1082,0,1746,1,6969600.70421999,10560.0005335
1420,708,0,1310,2,6969599.83808,10559.9998773333
1421,2312,0,4025,4,6969600.70421999,10560.0005335
1422,730,0,1343,2,6969599.83808,10559.9998773333
1423,2018,0,3218,1,6969599.83808,10559.9998773333
1424,504,0,1064,2,6969599.83808,10559.9998773333
